archive_entry,uncompressed_bytes,disposition
uvm_router/,0,original directory layout replaced
__MACOSX/._uvm_router,212,omitted: macOS metadata
uvm_router/read_driver1.sv,1373,retained: tb/read_driver1.sv
__MACOSX/uvm_router/._read_driver1.sv,212,omitted: macOS metadata
uvm_router/csrc/,0,original directory layout replaced
__MACOSX/uvm_router/._csrc,212,omitted: macOS metadata
uvm_router/write_agent.sv,826,retained: tb/write_agent.sv
__MACOSX/uvm_router/._write_agent.sv,212,omitted: macOS metadata
uvm_router/scoreboard.sv,7232,retained: tb/scoreboard.sv
__MACOSX/uvm_router/._scoreboard.sv,212,omitted: macOS metadata
uvm_router/.DS_Store,6148,omitted: macOS metadata
__MACOSX/uvm_router/._.DS_Store,120,omitted: macOS metadata
uvm_router/router_reg.v,2084,retained: rtl/router_reg.v
__MACOSX/uvm_router/._router_reg.v,212,omitted: macOS metadata
uvm_router/write_sequencer.sv,304,retained: tb/write_sequencer.sv
__MACOSX/uvm_router/._write_sequencer.sv,212,omitted: macOS metadata
uvm_router/simv.daidir/,0,original directory layout replaced
__MACOSX/uvm_router/._simv.daidir,212,omitted: macOS metadata
uvm_router/read_agent1.sv,803,retained: tb/read_agent1.sv
__MACOSX/uvm_router/._read_agent1.sv,212,omitted: macOS metadata
uvm_router/ACCELLERA_OVL_VHDL_LIB/,0,original directory layout replaced
__MACOSX/uvm_router/._ACCELLERA_OVL_VHDL_LIB,212,omitted: macOS metadata
uvm_router/read_monitor1.sv,1746,retained: tb/read_monitor1.sv
__MACOSX/uvm_router/._read_monitor1.sv,212,omitted: macOS metadata
uvm_router/lint.log,304,retained: reports/evidence/lint.log
uvm_router/virtual_seqr.sv,430,retained: tb/virtual_seqr.sv
__MACOSX/uvm_router/._virtual_seqr.sv,212,omitted: macOS metadata
uvm_router/vc_hdrs.h,3490,omitted: generated simulator artifact
__MACOSX/uvm_router/._vc_hdrs.h,212,omitted: macOS metadata
uvm_router/synth.ysy,336,omitted: superseded optional helper
__MACOSX/uvm_router/._synth.ysy,220,omitted: macOS metadata
uvm_router/.bashrc,492,omitted: machine-specific environment
__MACOSX/uvm_router/._.bashrc,212,omitted: macOS metadata
uvm_router/virtual_sequence.sv,3294,retained: tb/virtual_sequence.sv
__MACOSX/uvm_router/._virtual_sequence.sv,212,omitted: macOS metadata
uvm_router/read_sequencer1.sv,305,retained: tb/read_sequencer1.sv
